公司名称,工商名称,公司网址,成立时间,地点,运营状态,行业,子行业,融资时间,轮次,融资金额,投资方,融资总额,估值,团队,公司简介,详细地址,公开电话,公开邮箱,笔记
安泽,深圳市安泽智能工程有限公司,http://www.anzer.com.cn,2015-07,广东-深圳,运营中,硬件,机器人,2016-12-05,A轮,未透露人民币,-,-,未透露,张燊:总经理,安泽是一家高新技术企业，致力于多领域、世界领先技术和高实用性机器人的研发、设计、生产、服务的专业化国际机器人研发制造企业。系列产品领域覆盖安防、空间探索、工业制造、核电站、实验室自动化、公共事业、医疗手术以及家用和服务机器人等领域。,广东省深圳市南山区粤海街道海德三道天利中央广场A座1107室,0755-8663-8383,info@anzer.com.cn,-
南江机器人,杭州南江机器人股份有限公司,http://www.njrobot.com/,2014-09,浙江-杭州,运营中,硬件,机器人,-,-,-,-,-,-,谢宇:董事长,南江机器人是一家专门研制开发和销售推广智能机器人及其应用产品的企业。智能机器人是融合人工智能、机器视觉和感知、精密机电等一系列高新技术的系统集成，具有无比的市场。,浙江省杭州市滨江区长河街道长河路475号1幢229室,0571-2802-8688,bd@njrobot.com,-
飞米科技,北京飞米科技有限公司,http://www.fimi.com,2015-05,北京-海淀区,运营中,硬件,综合硬件,-,-,-,-,-,-,蔡炜:创始人,飞米科技是一家专注于机器人和无人机等相关领域的研发的企业，致力于让更多的人享受飞行的乐趣。公司已经掌握和拥有了无人机领域的多项核心技术（飞控、云台、高清图像实时图传、计算机视觉等），先后申请100余项相关专利，并顺利整合进产品，进入量产。,北京市海淀区信息路甲28号7层A座07C,,admin@fimi.com,-
中视典,深圳市中视典数字科技有限公司,http://www.vistandard.com,2001-01,广东-深圳,运营中,硬件,其他硬件服务,-,-,-,-,-,-,"索权:总经理,金文:公司负责人",中视典是一家从事图形图像软件定制与相关增值业务的国家高新技术企业。中视典依托自主知识产权的虚拟现实平台软件，结合国际先进的图形图像技术、人机交互技术与互联网技术，从事虚拟现实行业应用产品研发、设计、销售和服务，致力于为客户提供先进、易用、专业的虚拟现实应用产品及其整体解决方案。,广东省深圳市南山区学苑大道与留仙大道交界处南山智园 C 区 3 栋24 层,0755-8234-3323,tech@vrp3d.com,-
来创智能,深圳来创智能科技有限公司,http://www.robot007.cn,2016-05,广东-深圳,运营中,硬件,综合硬件,2016-05-12,天使轮,200万人民币,来创资本,200万,1000万元,荣升华:总经理,"来创智能是国家级高新技术企业，专注智能机器人、VR/AR虚拟现实与增强现实相关领域的研发、生产和销售。公司始终追求“技术创新和产业应用”不断积累技术,将科技成果产业化。来创智能的展示平台汇集上千种智能科技产品，无人机，智能家用机器人，安防机器人，VR眼镜等。",广东省深圳市南山区粤海街道科兴科学园A2栋6楼,,service@robot007.cn,-
凯视佳,北京凯视佳光电设备有限公司,http://www.catchbest.com,2013-01,北京-海淀区,运营中,硬件,综合硬件,-,-,-,-,-,-,郭坡:创始人,凯视佳是一家集相机研发、生产、制造于一体的企业，公司致力于CMOS、CCD数字工业相机的研发，已自主研发出USB2.0、USB3.0、GIGE、VGA、HDMI等接口的工业相机。CATCHBEST凯视佳品牌工业相机产品服务于机器视觉检测、工业制造、电子制造、汽车检测、医疗显微、公安刑侦及多媒体视频等数字图像采集领域。,北京市海淀区紫竹院路116号8层801室,400-030-0601,2880901357@qq.com,-
左岸芯慧,上海左岸芯慧电子科技有限公司,http://www.zaxh.cn,2010-09,上海-嘉定区,运营中,企业服务,其他企业服务,-,-,-,-,-,-,张波:CEO,左岸芯慧是一家致力于以物联网改变农业产业生态的公司，公司利用物联网核心技术，与移动互联网、无线通信、云计算技术高度融合，通过工业化标准手段，开发建立了左岸智慧农业云平台，为我国智能种植、智能灌溉、智能养殖提供完整解决方案。,上海市嘉定区平城路1455号中科院新微大厦B座3楼,021-6076-6658,support@zaxh.cn,-
华速机器人,安徽华速机器人科技有限公司,,2010-09,安徽-池州,运营中,硬件,机器人,2012-02-16,A轮,数千万人民币,创丰资本,3000万,1.5亿元,,华速机器人是一家集研发、生产、销售的科技公司，专注于从事在线洗清洗机器人、矿山就生机器人、深海采矿机器人的研发。,安徽省池州市贵池工业园区  ,,1305857529@qq.com,-
芯奥微,无锡芯奥微传感技术有限公司,http://www.neomems.com,2010-09,江苏-无锡,运营中,硬件,综合硬件,-,-,-,-,-,-,,芯奥微是一家从事MEMS传感器研究、开发和生产的公司，专注于提供高品质的半导体硅基麦克风及其他传感器件产品，致力于进行MEMS陀螺仪、MEMS加速计和MEMS高度计的研发。,江苏省无锡市锡山经济开发区锡山大道533号  ,0510-8513-7311,neomems@neomems.com,-
三坛医疗,杭州三坛医疗科技有限公司,http://www.hzstyl.com,2011-04,浙江-杭州,运营中,医疗健康,医疗器械及硬件,2014-01-01,A轮,600万人民币,同创伟业,600万,3000万元,沈丽萍:CEO,三坛医疗是一家集研发、设计、生产、销售和服务为一体的医疗设备公司，专注于提供骨科手术机器人、自动麻醉机、自动腰穿机、自动弹片摘除机器人等系列产品。,浙江省杭州市西湖区三墩镇西园八路11号2幢4楼402室,,hzstyl@163.com,-
深迪半导体,深迪半导体（上海）有限公司,http://www.senodia.com,2008-08,上海-浦东新区,运营中,硬件,传感器及中间件,2014-05-28,C轮,数百万美元,"张江火炬创投,赛伯乐投资",4250万,未透露,周丽红:公司负责人,深迪半导体是一家生产用MEMS陀螺仪系列惯性传感器芯片的公司，注于为消费电子及汽车电子市场提供商用MEMS陀螺仪芯片，以及为客户提供全面的应用解决方案。,上海市浦东新区龙东大道3000号1号楼A栋306室,021-5027-6900,tianchen_fan@senodia.com,-
,,,,,,,,2011-01-01,B轮,2000万人民币,深创投,,,,,,,,
,,,,,,,,2009-07-30,A轮,未透露人民币,德鼎创新基金(德丰杰龙脉),,,,,,,,
,,,,,,,,2008-08-31,天使轮,数百万人民币,架桥资本,,,,,,,,
维锐智能,上海维锐智能科技有限公司,http://www.wayrise.com,2012-09,上海-浦东新区,运营中,硬件,综合硬件,2014-03-05,天使轮,数百万人民币,晨晖创投,300万,1500万元,蔡晓恺:CEO,维锐智能是一家工业自动化及工业智能领域的硬件公司，专注于研发LED数码管自动测试机，LED数码管全自动检测、打包、包装一体机，车灯自动测试等。,上海市浦东新区博霞路22号210室,021-5090-3137,hr@wayrise.com ,-
光格,苏州光格设备有限公司,http://www.agioe.com,2010-04,江苏-苏州,运营中,企业服务,综合企业服务,-,-,-,-,-,-,姜明武:CEO,光格是一家专注新一代光电传感网络及综合监控系统的研发、生产、销售和服务的综合型公司，其产品包括温度、应力应变、及环保和碳排放监测等光纤传感网络系统。,"江苏省苏州市工业园区东平街270号澳洋顺昌大厦3C,3D",0512-6295-7797 ,jjgu@agioe.com ,-
能力风暴,上海未来伙伴机器人有限公司,http://www.abilixschool.com/,1996-06,上海-徐汇区,运营中,硬件,机器人,2016-10-08,A轮,6亿人民币,-,6亿,60亿元,费旭锋:CEO,能力风暴是一家教育机器人研发商，主要有家用教育机器人、机器人活动中心、机器人实验室系列等。研发了适合3-18岁少年儿童教育机器人模块系列伯牙，具有组装、编程的双重功能，能够帮助儿童进行创意搭建和编程学习。,上海市徐汇区钦州北路1122号90栋8楼,021-6495-2827,wangff@xpartner.cn,-
衡昊数据,广州衡昊数据科技有限公司,http://www.henghaodata.com,2015-09,广东-广州,运营中,企业服务,IT基础设施,-,-,-,-,-,-,邓志雄:总经理,衡昊数据是一家新兴的高科技公司，专注大数据和AI技术的研究开发。公司采用一流的机器学习和人工智能技术，助力企业研发新产品，为企业提供优质的人工智能和云计算服务。重点服务于通信、金融、旅游、政府、农业、交通、医疗等行业。,广东省广州市越秀区大南路2号4002房,020-8767-3271,cc@henghaodata.com,-
创想智控,北京创想智控科技有限公司,http://www.crwnt.com,2013-02,北京-海淀区,运营中,硬件,其他硬件服务,2018-10-17,战略投资,未透露人民币,领势投资,500万,未透露,凌清:董事长,创想智控是一家集研发、生产、销售于一体的高新技术企业，有着多年的机器视觉领域研发经验。生产销售产品主要为基于机器视觉的智能视觉焊接专家系统，特别专注于焊割领域的智能化设备生产和改造，产品已经在诸多工厂实际应用。,北京市海淀区创业中路36号留学人员创业园4层,010-5623-7057,marketing@crwnt.com,-
,,,,,,,,2015-09-14,天使轮,500万人民币,-,,,,,,,,
大艾机器人,北京大艾机器人科技有限公司,http://www.ai-robotics.cn,2016-04,北京-海淀区,运营中,硬件,机器人,2018-02-13,Pre-A轮,数千万人民币,金科君创,4200万,未透露,帅梅:董事长,大艾机器人是一家机器人公司，专注于提供医疗机器人，企业完成康复机器人软、硬件产品研发、生产、销售和服务的一体化，企业产品包括外骨骼机器人，学步减重康复机器人等。,北京市海淀区王庄路1号院4号楼0902室,010-8236-6656,,-
,,,,,,,,2016-04-07,天使轮,1200万人民币,-,,,,,,,,
翼飞特,合肥翼飞特电子科技有限公司,http://www.effort-tech.com/,2015-09,安徽-合肥,运营中,硬件,飞行器,-,-,-,-,-,-,"肖尚读:CEO,刘甜甜:创始人",翼飞特一家无人机配件供应商，提供PCB集成板、结构件、机架等无人机周边配件定制化设计服务，提供包含有无人机电源分配模块、植保机动力系统、植保机通用配件等产品。致力于为无人机行业用户提供性能最强的无人机周边产品。,安徽省合肥市经济技术开发区丹霞路以北翡翠路西大学城商业中心商办楼M栋5F创客空间208室,,240642378@qq.com,-
大道智创,深圳市大道智创科技有限公司,http://www.dadaoii.com/,2015-07,广东-深圳,运营中,硬件,机器人,2018-05-10,A轮,数千万人民币,凯泰资本,3300万,未透露,"赵信宇:CEO,邢志伟:CTO,朱晓蕊:公司负责人,龙建睿:公司负责人,魏伟:公司负责人",大道智创是一家专注于研发安保机器人的公司，主要研发和销售巡逻机器人、安保机器人等商用服务型机器人，以视觉定位为主，配合多传感器融合，在复杂环境下实现全自主定位巡航，目前已推出了一代产品“e巡 ”机器警长。,广东省深圳市南山区西丽镇大学城硅谷创业园桑泰大厦A座1203室,0755-8636-3377,zhaoxy@dadaoii.com,-
,,,,,,,,2016-06-17,天使轮,数百万人民币,梅花创投,,,,,,,,
艾森博,北京艾森博航空科技股份有限公司,http://www.exptech.cn,2010-03,北京-海淀区,运营中,硬件,飞行器,-,-,-,-,-,-,刘臣:CEO,艾森博是一家专注于无人机系统的企业，公司集工业级无人机和应用系统的研发、生产、销售、技术集成及服务于一体，致力于为客户提供工业级无人机解决方案。,北京市海淀区知春路7号致真大厦D座23层,010-8261-7077,info@exptech.cn,-
MadaData马达数据,北京马达加科技有限公司,http://www.madadata.com,2015-08,北京-朝阳区,已关闭,企业服务,数据服务,2015-12-24,天使轮,数十万美元,-,195万,1625万元,"周宇翔:联合创始人,麦采尧:联合创始人,刘嘉瑜:联合创始人",马达数据拥有国内领先BI技术，向企业提供新一代商业智能BI系统，通过整合、分析及可视化企业内部及外接大数据，助企业高效制定商业决策：实时精确，互动直观，安全可靠。,北京市海淀区上地信息路1号(北京实创高科技发展总公司1-1、1-2号)1-1幢1层A栋01-014号,,vivi9898@163.com,-
光图智能,苏州光图智能科技有限公司,http://www.oi-smart.com,2015-01,江苏-苏州,运营中,企业服务,行业信息化及解决方案,2017-12-19,A轮,未透露人民币,海达投资,300万,未透露,何鹏:PM,光图智能是一家专业从事视觉图像应用领域研究开发的高科技企业，致力于搭建面向工程师系统需求可自主开发的高性能模块化视觉平台，力求为客户提供整套视觉解决方案。,江苏省苏州市工业园区若水路388号纳米科技国家大学科技园E栋1003,0512-6251-2433,admin@oi-smart.com,-
,,,,,,,,2017-04-11,天使轮,数百万人民币,领军创投,,,,,,,,
力合光电传感,深圳力合光电传感股份有限公司,http://www.leaguer-sz.com,2004-08,广东-深圳,运营中,硬件,综合硬件,-,-,-,-,-,-,仲会民:CEO,力合光电传感是一家综合硬件公司，专注于从事研发和生产高性能的多点电容式触摸屏传感阵列器件ITO SENSOR及其模组、液晶显示行业用STN、TN型透明ITO导电玻璃和光学膜器件产品。,广东省深圳市光明新区公明办事处长圳社区长兴科技工业园16栋一至三层,0755-2719-6008,leaguer@leaguer-sz.com ,-
乃尔,厦门乃尔电子有限公司,http://www.niell.cn,2010-03,福建-厦门,运营中,硬件,综合硬件,-,-,-,-,-,-,苏水然:CEO,乃尔是一家综合硬件公司，专注于研发各种科学原理的振动和冲击传感器、位移传感器、速度传感器、压力传感器以及各类优质高效的传感器系统和解决方案，自主设计了MEMS芯片和压电陶瓷材料。,福建省厦门市海沧区坪埕中路29号一层至五层,0592-375-9821 ,,-
量知数据,杭州量知数据科技有限公司,http://www.quant-chi.com/,2016-01,浙江-杭州,运营中,企业服务,数据服务,2018-06-06,A轮,1500万人民币,"元禾原点创投,天使投资人,金禾新材",4500万,未透露,"邵健:CEO,凌立刚:公司负责人,朱海鹏:公司负责人,曹振:联合创始人",量知数据是一家专注于大数据认知计算与商业智能服务的技术型科技公司，面向企业智能、金融科技、智慧城市等领域提供行业解决方案。,杭州市西湖区天目山路226号浙大网新大厦3楼F3313室,0571-8795-6225,service@quant-chi.com,-
,,,,,,,,2016-09-01,天使轮,数千万人民币,"通衡浙商资本,伽利略资本",,,,,,,,
泛化智能,北京泛化智能科技有限公司,http://www.giai.tech,2015-03,北京-海淀区,运营中,硬件,其他硬件服务,2018-06-14,Pre-A轮,1000万人民币,高达投资,1360万,未透露,,泛化智能是一家专注于机器学习与计算机视觉的人工智能公司，总部位于北京。我们致力于为客户提供可快速部署、通用且可靠的人工智能产品与解决方案。我们坚信，人工智能不应是束之高阁的实验室项目，而应是人人可用的基础设施。只要把需求告诉我们，剩下的一切由泛化智能负责。,北京市海淀区高里掌路1号院2号楼2层202-008,,hi@giai.tech,-
,,,,,,,,2017-08-21,天使轮,360万人民币,高达投资,,,,,,,,
,,,,,,,,2016-06-01,天使轮,未透露人民币,梅花创投,,,,,,,,
投关易,汇通金融信息服务（北京）有限公司,,2015-05,北京-朝阳区,运营中,金融,投融资,2016-10-27,Pre-A轮,1500万人民币,温迪数字,1700万,未透露,"陈达:CEO,张智斐:联合创始人",投关易是一家服务于新三板的智能投资者关系管理云计算平台，为新三板企业提供信息、监测、沟通、分析等产品及服务。汇通金融信息服务(北京)有限公司旗下产品。,北京市朝阳区曙光西里6号院时间国际中心8号楼北区7层,400-910-8818,touguanyi@xsber.com,-
,,,,,,,,2015-07-28,天使轮,200万人民币,凤博投资,,,,,,,,
壹见传媒,壹见文化传播（天津）有限公司,http://www.orange-social.com/,2016-04,北京-朝阳区,运营中,广告营销,整合营销传播,2016-11-02,Pre-A轮,1000万人民币,"无穹创投,博派资本,华夏桃李资本",1000万,5000万元,毕晓妮:CEO,壹见传媒是一家新媒体营销公司，致力于口碑时代新媒体影响力挖掘，为客户提供包括新媒体大数据分析及监控，营销策划、媒介执行等新媒体全方位营销咨询服务。,北京市朝阳区安立路马哥孛罗大厦603,010-5963-6603,business@orange-social.com,-
腾讯云,腾讯云计算（北京）有限责任公司,https://www.qcloud.com,2010-10,北京-海淀区,运营中,企业服务,企业安全,-,-,-,-,-,-,马化腾:CEO,腾讯云是一家云计算服务提供商，专注于为用户提供集云计算、云数据、云运营为一体的云端服务，致力于为用户提供云服务器、云数据库、DDoS防御大数据可视化、开发者工具等服务，同时提供通用解决方案、行业解决方案、大数据与AI解决方案等。,北京市海淀区知春路49号3层西部309,010-6267-1188,winama@tencent.com,-
易航智能,长春易航智能科技有限公司,http://yihang.ai/,2015-08,吉林-长春,运营中,汽车交通,交通出行,2018-08-29,B轮,2.2亿人民币,"经纬中国,中金公司,源码资本,中金甲子",2.23亿,未透露,"陈禹行:CEO,史艳辉:联合创始人,李雪峰:联合创始人,高莹:联合创始人",易航智能是一家智能驾驶科技公司，专注于提供智能驾驶解决方案，业务包括汽车动力学软件、汽车控制系统软件开发及销售，实现Autopilot产品化的自动驾驶，已正式成为主机厂自动驾驶Tier 1供应商。,吉林省长春市朝阳区人民大街187号长飞小区133栋1门602室,,,-
,,,,,,,,2017-01-13,A轮,未透露人民币,"经纬中国,华夏幸福(知合控股)",,,,,,,,
,,,,,,,,2016-08-22,天使轮,数百万人民币,"周航,明势资本,车和家",,,,,,,,
Momenta,北京初速度科技有限公司,http://www.momenta.cn/,2016-07,北京-海淀区,运营中,汽车交通,车联网及硬件,2018-10-18,战略投资,2亿美元,"腾讯,高达投资,元禾原点创投,建银国际,蔚来资本,招商局创投",16.32亿,未透露,"曹旭东:CEO,任少卿:公司负责人,夏炎:公司负责人,孙刚:公司负责人",Momenta致力于打造自动驾驶大脑；提供基于深度学习的环境感知、高精度地图、驾驶决策算法；产品包括不同级别的自动驾驶方案，以及衍生出的大数据服务；团队源自清华大学和微软亚洲研究院，具有深厚的技术积累和极强的技术原创能力。,北京市海淀区中关村东路8号东升大厦A座501,010-82526609,contact@momenta.ai,-
,,,,,,,,2017-10-16,B+轮,未透露美元,"GGV纪源资本,凯辉基金",,,,,,,,
,,,,,,,,2017-07-25,B轮,4600万美元,"创新工场,九合创投,顺为资本,蔚来资本,Daimler戴姆勒",,,,,,,,
,,,,,,,,2017-01-01,A+轮,未透露人民币,顺为资本,,,,,,,,
,,,,,,,,2016-11-14,A轮,500万美元,"创新工场,真格基金,蓝湖资本",,,,,,,,
得意音通,北京得意音通技术有限责任公司,http://www.d-ear.com,2002-04,北京-海淀区,运营中,企业服务,其他企业服务,2015-08-16,A+轮,3000万人民币,北汽产业投资基金,3000万,未透露,"郑方:创始人,倪鸣:CEO",得意音通是一家声纹识别技术研发商，以声纹识别（VPR）技术、自动语音识别（ASR）技术和中文自然语言理解（CNLU）技术为基础，为客户提供解决方案和声纹识别云服务。,北京市海淀区清华科技园学研大厦B座1005室,010-8289-3532,Marketing@d-Ear.com,-
,,,,,,,,2015-07-15,A轮,未透露人民币,清华控股,,,,,,,,
YOGO机器人,上海有个机器人有限公司,http://yogorobot.com/,2016-01,上海-长宁区,运营中,硬件,机器人,2018-05-31,A+轮,未透露人民币,"IDG资本,真格基金",3300万,未透露,赵明:创始人,YOGO机器人是一家商用服务机器人开发公司，主要提供酒店、商场、餐饮、4S店等场所的服务机器人，同时提供独立的视觉导航模块、低价小微型激光导航模块和特种车辆的无人驾驶系统。,长宁区愚园路753号2号楼6楼,021-5298-8098,yogo@yogorobot.com,-
,,,,,,,,2018-01-09,A轮,未透露人民币,-,,,,,,,,
,,,,,,,,2016-11-18,Pre-A轮,数千万人民币,IDG资本,,,,,,,,
,,,,,,,,2016-02-01,天使轮,数百万人民币,易科汇资本,,,,,,,,
ImageQ,武汉烽火普天信息技术有限公司,http://www.imageq.cn/,2009-11,湖北-武汉,运营中,企业服务,数据服务,2016-11-21,A轮,2700万人民币,湖北高投,2700万,1.35亿元,"金俏:CEO,金勇:CTO",ImageQ是一个大数据语义分析云平台，致力于通过技术创新和商业探索，将大数据产品和服务引入细分行业，运用人工智能辅助政府科学施政，并结合全网数据和工商数据帮企业分析竞品及市场的动态。,湖北省武汉市光谷软件园A1-10F,027-8705-2755,fp@fiberhome.com.cn,-
蓦然认知,北京蓦然认知科技有限公司,http://mor.ai/,2016-05,北京-海淀区,运营中,企业服务,黑科技及前沿技术,2018-08-22,战略投资,1000万美元,鸿海集团Foxconn,1.43亿,未透露,"戴帅湘:CEO,洪涛:联合创始人,张伟萌:联合创始人",蓦然认知是一家智能交互决策引擎研发商，旗下拥有MorUI、MorBot、MorKnowledge三大产品特征，基于认知计算、自然语言理解技术，为用户提供信号处理、语音识别、语音理解和服务自动对接的一站式交互决策引擎，适用于智能家居、智能语音车载系统等应用场景。,北京市海淀区王庄路 1 号清华同方科技大厦 D 座东楼 1506,,info@imoran.net,-
,,,,,,,,2017-01-17,A轮,1000万美元,"经纬中国,源码资本,襄禾资本",,,,,,,,
,,,,,,,,2016-06-30,天使轮,200万美元,"经纬中国,襄禾资本",,,,,,,,
卓越云,卓越云讯（北京）科技有限公司,http://www.zy-yun.com,2015-09,北京-朝阳区,运营中,企业服务,综合企业服务,-,-,-,-,-,-,吴陶:联合创始人,卓越云是一家呼叫中心、CRM、ERP、智能客服、大数据分析、定制型联络中心专业服务商，进行 客户服务、服务水平分析、客户管理分析等。,北京市朝阳区广渠路39号院2号楼二层,400-668-8159,zyun@zy-yun.com,-
FEC筷农科技,深圳市筷农信息科技有限公司,http://www.fecnong.com/,2014-08,广东-深圳,运营中,电子商务,电商解决方案,2018-10-23,天使轮,500万人民币,-,500万,2500万元,李小军:CEO,FEC筷农科技是一家农业互联网解决方案供应商，提供农业领域的信息化、电子商务、云平台、物联网及智能硬件技术方案和产品，依托云计算、大数据、区块链等技术，面向大农业用户提供规划咨询、应用软件设计与开发、人工智能、云服务、数据服务。,中国深圳市罗湖区 布吉路1028号中设广场A座8楼,400-8015-205,capital@fecsoft.cn,-
伟景智能,北京伟景智能科技有限公司,http://www.vizumtech.com/,2016-06,北京-海淀区,运营中,硬件,机器人,2017-05-22,A轮,5000万人民币,-,8000万,未透露,董霄剑:CEO,伟景智能是一家硬件服务公司，推出机器智能眼产品——ViEye，可根据特定需求自主呈现高精度3D坐标及高精细度目标尺寸等量化信息，致力于给机器人和移动设备开发的一双“智能眼”，提供工业自动化领域的双目立体视觉软硬件解决方案，北京伟景智能科技有限公司旗下产品。,北京市海淀区永澄北路2号院1号楼A座4层405-74 ,,,-
,,,,,,,,2016-12-20,天使轮,数千万人民币,将门创投,,,,,,,,
弈猫,上海弈猫科技有限公司,http://www.ecatmc.com,2015-08,上海-徐汇区,运营中,硬件,机器人,2016-02-01,Pre-A轮,数百万人民币,合力投资,300万,1500万元,何弢:CEO,弈猫专注于运动控制、伺服驱动、机器人自动化技术领域，为用户提供最完整，最先进的控制器、伺服驱动器、智能电机、运动控制算法及主站控制软件等产品解决方案，是国内最专业的工业实时以太网控制机器人技术方案提供商。,上海市徐汇区龙吴路2046号1号楼1199室,021-5988-3721,,-
Cobot武汉库柏特,武汉库柏特科技有限公司,http://www.cobotsys.com,2016-05,湖北-武汉,运营中,硬件,机器人,2017-12-05,B轮,1.02亿人民币,"经纬中国,GGV纪源资本,蓝图创投",1.47亿,未透露,"李淼:CEO,闫琳:公司负责人,夏起炎:公司负责人,张少华:公司负责人",武汉库柏特是一家高科技硬件制造企业，公司的主要业务范围是工业机器人的研发、生产和销售，主要客户类型为劳动密集型的制造企业、食品企业、物流企业等，提供事协作机器人及机器人柔性制造系统。,湖北省武汉市东湖开发区关东工业园东信路11号C栋三层3116-3176室,027-8700-3309,hr@cobotsys.com,-
,,,,,,,,2017-03-15,A轮,4000万人民币,经纬中国,,,,,,,,
,,,,,,,,2016-06-01,天使轮,500万人民币,合力投资,,,,,,,,
Eyespage页码科技,页码（北京）科技有限公司,http://eyespage.com/,2015-01,北京-朝阳区,运营中,企业服务,数据服务,2015-06-01,天使轮,数百万人民币,-,300万,1500万元,周劲:CEO,Eyespage页码科技是一家大数据科技公司，致力于把大数据和人工智能融入到手机应用中，在人们不同的生活层面上提供帮助。,北京市朝阳区三间房乡西柳村中街(三间房动漫集中办公区4409号),010-64368049,business@eyespage.com,-
玩伴机器人,玩伴（北京）智能机器人科技有限公司,,2015-10,北京-海淀区,运营中,硬件,机器人,-,-,-,-,-,-,李其文:CEO,玩伴机器人是一家专注于儿童的智能机器人企业，立足AI、VR、AR、biosensor的应用开发、集成服务，为儿童产业提供智能升级服务，让每个孩子都拥有一个自己的机器人，提供机器人管家、玩宠机器人、医生机器人、老师机器人等智能机器人服务，下设集成服务中心、私人化机器人中心、少儿创客学校等机构。,北京市海淀区上地信息产业基地三街1号楼-1层地下室A段066,,lisa_750@163.com,-
东软集团,东软集团股份有限公司,http://www.neusoft.com,1991-06,辽宁-沈阳,运营中,企业服务,IT基础设施,-,-,-,-,-,-,刘积仁:董事长,东软集团是一家面向全球提供IT解决方案与服务的公司，致力于通过创新的信息化技术来推动社会的发展与变革，提供行业解决方案和产品工程解决方案以及相关软件产品、平台及服务。,辽宁省沈阳市浑南新区新秀街2号,024-8366-7788,legal@neusoft.com,-
东方生态,北京东方润泽生态科技股份有限公司,http://www.insentek.com,2016-03,北京-海淀区,运营中,企业服务,数据服务,-,-,-,-,-,-,黎欣:CEO,东方生态是一家提供生态环境相关智能硬件产品及大数据服务的互联网的公司，通过云智能传感器对生态环境状况进行数字化处理、分析和传输，并将生态智能硬件、生态大数据、智能灌溉服务确定为公司的新业务。,北京市海淀区花园路13号院天博中润211,400-100-5581,invest@insentek.com,-
乐智机器人,深圳乐智机器人有限公司,http://www.lzrobot.com,2013-12,广东-深圳,运营中,教育,其他教育,2018-09-04,A轮,1500万人民币,-,5500万,未透露,范瑞峰:CEO,乐智机器人是一家机器人研发教育培训机构和智能硬件开发商，专注于为校园用户和培训机构提供steam教育解决方案，致力于提供空间搭建+课程内容+教具提供+师资培训等一体化服务。,深圳市龙华区大浪联建科技工业园6栋5楼502,0755-3662-0612,info@lzrobot.com,-
,,,,,,,,2017-08-05,Pre-A轮,数千万人民币,"拼图资本,国是经纬",,,,,,,,
,,,,,,,,2017-05-05,天使轮,1000万人民币,"力合科创（力合创投）,创想天使",,,,,,,,
圭目机器人,上海圭目机器人有限公司,http://www.gm-robot.com,2016-05,上海-杨浦区,运营中,硬件,综合硬件,2016-09-09,天使轮,1200万人民币,"创业接力(创业基金会),坚果创投",1200万,6000万元,"桂仲成:CEO,Jianwei Zhang:公司负责人,Dezhen Song:公司负责人,Jingang Yi:公司负责人,陈晓晖:公司负责人,史斐:公司负责人",圭目机器人是一家致力于提供资本密集设施智能化建造、检修养护产品、服务与解决方案的公司。旗下产品有检测机器人，无人机检测系统，爬壁机器人检修系统，工业机器人系统集成。,上海市杨浦区国康路100号1301E室,021-5589-6661,,-
多维科技,江苏多维科技有限公司,http://www.dowaytech.com,2010-05,江苏-苏州,运营中,硬件,传感器及中间件,-,-,-,-,-,-,薛松生:CEO,多维科技是一家隧道磁电阻(TMR)传感器制造商，拥有多项独有的专利技术和制造能力，可批量生产高性能、低成本TMR磁传感器以满足应用需求，为TMR/GMR/AMR磁传感器提供定制设计服务。,江苏省苏州市张家港保税区广东路7号E栋,0512-5636-6201,info@dowaytech.com ,-
凯龙高科,凯龙高科技股份有限公司,http://www.kailongtec.com,2001-12,江苏-无锡,运营中,硬件,传感器及中间件,2014-02-10,B轮,未透露人民币,-,5000万,未透露,臧志成:CEO,凯龙高科是一家集研发、生产、销售和售后服务为一体的高新技术企业，自主设计建造了载体催化剂涂覆流水线、蜂窝陶瓷载体生产流水线、尿素喷射泵装配流水线、喷射控制器（DCU）流水线、及催化器封装等多条流水线。,江苏省无锡市惠山经济开发区钱桥配套区庙塘桥,0510-6893-7717 ,info@kailongtec.com ,-
,,,,,,,,2011-01-01,A轮,5000万人民币,"招商局资本,力合清源,中国风险投资,苏州高新创投",,,,,,,,
二维碳素,常州二维碳素科技股份有限公司,http://cz2dcarbon.com,2011-12,江苏-常州,运营中,硬件,传感器及中间件,-,-,-,-,-,-,冯冠平:CEO,二维碳素是一家从事大面积石墨烯薄膜及石墨烯触控模组的研发、制造高科技上市企业。开发了石墨烯发热膜系列产品，在家用取暖、中医理疗、医疗加热、工业精确分区温度管理等方面应用广泛。,江苏省常州市武进经济开发区祥云路6号,0519-8168-7926,zhangzhang@2dcarbon.com.cn ,-
阿尔德巴兰,软银机器人贸易（上海）有限公司,http://www.ald.softbankrobotics.com,2012-01,上海-黄浦区,运营中,硬件,机器人,-,-,-,-,-,-,TOMIZAWAFUMIHIDE:CEO,阿尔德巴兰是一家机器人制造商，专注于人形机器人的制造、销售，推出的首个产品NAO机器人，致力于设计、生产和出售自动仿人型机器人。,上海市黄浦区延安东路550号9层13室,021-6168-1088,lizzie.cheng@mazars.cn,-
